 Total Nb of available Diagnostics: ndiagt=   531
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    68 |WRHOMASS| 80 |       |WM      LR|kg/m^2/s        |Vertical Transport of Density
    69 |WdRHO_P | 80 |       |WM      LR|kg/m^2/s        |Vertical velocity times delta^k(Rho)_at-const-P
    70 |WdRHOdP | 80 |       |WM      LR|kg/m^2/s        |Vertical velocity times delta^k(Rho)_at-const-T,S
    71 |PHIHYD  | 80 |       |SMR     MR|m^2/s^2         |Hydrostatic Pressure Pot.(p/rho) Anomaly
    72 |PHIHYDSQ| 80 |       |SMRP    MR|m^4/s^4         |Square of Hyd. Pressure Pot.(p/rho) Anomaly
    73 |PHIBOT  |  1 |       |SM      M1|m^2/s^2         |Bottom Pressure Pot.(p/rho) Anomaly
    74 |PHIBOTSQ|  1 |       |SM P    M1|m^4/s^4         |Square of Bottom Pressure Pot.(p/rho) Anomaly
    75 |PHI_SURF|  1 |       |SM      M1|m^2/s^2         |Surface Dynamical Pressure Pot.(p/rho)
    76 |MXLDEPTH|  1 |       |SM      M1|m               |Mixed-Layer Depth (>0)
    77 |DRHODR  | 80 |       |SM      LR|kg/m^4          |Stratification: d.Sigma/dr (kg/m3/r_unit)
    78 |CONVADJ | 80 |       |SMR     LR|fraction        |Convective Adjustment Index [0-1]
    79 |oceTAUX |  1 |    80 |UU      U1|N/m^2           |zonal surface wind stress, >0 increases uVel
    80 |oceTAUY |  1 |    79 |VV      U1|N/m^2           |meridional surf. wind stress, >0 increases vVel
    81 |atmPload|  1 |       |SM      U1|Pa              |Atmospheric pressure loading anomaly (vs surf_pRef)
    82 |sIceLoad|  1 |       |SM      U1|kg/m^2          |sea-ice loading (in Mass of ice+snow / area unit)
    83 |oceFWflx|  1 |       |SM      U1|kg/m^2/s        |net surface Fresh-Water flux into the ocean (+=down), >0 decreases salinity
    84 |oceSflux|  1 |       |SM      U1|g/m^2/s         |net surface Salt flux into the ocean (+=down), >0 increases salinity
    85 |oceQnet |  1 |       |SM      U1|W/m^2           |net surface heat flux into the ocean (+=down), >0 increases theta
    86 |oceQsw  |  1 |       |SM      U1|W/m^2           |net Short-Wave radiation (+=down), >0 increases theta
    87 |oceFreez|  1 |       |SM      U1|W/m^2           |heating from freezing of sea-water (allowFreezing=T)
    88 |TRELAX  |  1 |       |SM      U1|W/m^2           |surface temperature relaxation, >0 increases theta
    89 |SRELAX  |  1 |       |SM      U1|g/m^2/s         |surface salinity relaxation, >0 increases salt
    90 |surForcT|  1 |       |SM      U1|W/m^2           |model surface forcing for Temperature, >0 increases theta
    91 |surForcS|  1 |       |SM      U1|g/m^2/s         |model surface forcing for Salinity, >0 increases salinity
    92 |TFLUX   |  1 |       |SM      U1|W/m^2           |total heat flux (match heat-content variations), >0 increases theta
    93 |SFLUX   |  1 |       |SM      U1|g/m^2/s         |total salt flux (match salt-content variations), >0 increases salt
    94 |RCENTER | 80 |       |SM      MR|m               |Cell-Center Height
    95 |RSURF   |  1 |       |SM      M1|m               |Surface Height
    96 |TOTUTEND| 80 |    97 |UUR     MR|m/s/day         |Tendency of Zonal Component of Velocity
    97 |TOTVTEND| 80 |    96 |VVR     MR|m/s/day         |Tendency of Meridional Component of Velocity
    98 |TOTTTEND| 80 |       |SMR     MR|degC/day        |Tendency of Potential Temperature
    99 |TOTSTEND| 80 |       |SMR     MR|psu/day         |Tendency of Salinity
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |MoistCor| 80 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   101 |gT_Forc | 80 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   102 |gS_Forc | 80 |       |SMR     MR|psu/s           |Salinity forcing tendency
   103 |AB_gT   | 80 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   104 |AB_gS   | 80 |       |SMR     MR|psu/s           |Salinity tendency from Adams-Bashforth
   105 |gTinAB  | 80 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   106 |gSinAB  | 80 |       |SMR     MR|psu/s           |Salinity tendency going in Adams-Bashforth
   107 |AB_gU   | 80 |   108 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   108 |AB_gV   | 80 |   107 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   109 |ADVr_TH | 80 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   110 |ADVx_TH | 80 |   111 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   111 |ADVy_TH | 80 |   110 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   112 |DFrE_TH | 80 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   113 |DFxE_TH | 80 |   114 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   114 |DFyE_TH | 80 |   113 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   115 |DFrI_TH | 80 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   116 |ADVr_SLT| 80 |       |WM      LR|psu.m^3/s       |Vertical   Advective Flux of Salinity
   117 |ADVx_SLT| 80 |   118 |UU      MR|psu.m^3/s       |Zonal      Advective Flux of Salinity
   118 |ADVy_SLT| 80 |   117 |VV      MR|psu.m^3/s       |Meridional Advective Flux of Salinity
   119 |DFrE_SLT| 80 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Explicit part)
   120 |DFxE_SLT| 80 |   121 |UU      MR|psu.m^3/s       |Zonal      Diffusive Flux of Salinity
   121 |DFyE_SLT| 80 |   120 |VV      MR|psu.m^3/s       |Meridional Diffusive Flux of Salinity
   122 |DFrI_SLT| 80 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Implicit part)
   123 |SALTFILL| 80 |       |SM      MR|psu.m^3/s       |Filling of Negative Values of Salinity
   124 |EXFhs   |  1 |       |SM      U1|W/m^2           |Sensible heat flux into ocean, >0 increases theta
   125 |EXFhl   |  1 |       |SM      U1|W/m^2           |Latent heat flux into ocean, >0 increases theta
   126 |EXFlwnet|  1 |       |SM      U1|W/m^2           |Net upward longwave radiation, >0 decreases theta
   127 |EXFswnet|  1 |       |SM      U1|W/m^2           |Net upward shortwave radiation, >0 decreases theta
   128 |EXFlwdn |  1 |       |SM      U1|W/m^2           |Downward longwave radiation, >0 increases theta
   129 |EXFswdn |  1 |       |SM      U1|W/m^2           |Downward shortwave radiation, >0 increases theta
   130 |EXFqnet |  1 |       |SM      U1|W/m^2           |Net upward heat flux (turb+rad), >0 decreases theta
   131 |EXFtaux |  1 |       |UM      U1|N/m^2           |zonal surface wind stress, >0 increases uVel
   132 |EXFtauy |  1 |       |VM      U1|N/m^2           |meridional surface wind stress, >0 increases vVel
   133 |EXFuwind|  1 |       |UM      U1|m/s             |zonal 10-m wind speed, >0 eastward
   134 |EXFvwind|  1 |       |VM      U1|m/s             |meridional 10-m wind speed, >0 northward
   135 |EXFwspee|  1 |       |SM      U1|m/s             |10-m wind speed modulus ( >= 0 )
   136 |EXFatemp|  1 |       |SM      U1|degK            |surface (2-m) air temperature
   137 |EXFaqh  |  1 |       |SM      U1|kg/kg           |surface (2-m) specific humidity
   138 |EXFevap |  1 |       |SM      U1|m/s             |evaporation, > 0 increases salinity
   139 |EXFpreci|  1 |       |SM      U1|m/s             |precipitation, > 0 decreases salinity
   140 |EXFsnow |  1 |       |SM      U1|m/s             |snow precipitation, > 0 decreases salinity
   141 |EXFempmr|  1 |       |SM      U1|m/s             |net upward freshwater flux, > 0 increases salinity
   142 |EXFpress|  1 |       |SM      U1|N/m^2           |atmospheric pressure field
   143 |EXFroff |  1 |       |SM      U1|m/s             |river runoff, > 0 decreases salinity
   144 |EXFroft |  1 |       |SM      U1|deg C           |river runoff temperature
   145 |EXFsalfx|  1 |       |SM      U1|psu.kg/m^2/s    |upward salt flux, > 0 decreases salinity
   146 |KPPviscA| 80 |       |SM P    LR|m^2/s           |KPP vertical eddy viscosity coefficient
   147 |KPPdiffS| 80 |       |SM P    LR|m^2/s           |Vertical diffusion coefficient for salt & tracers
   148 |KPPdiffT| 80 |       |SM P    LR|m^2/s           |Vertical diffusion coefficient for heat
   149 |KPPghatK| 80 |       |SM P    LR|0-1             |ratio of KPP non-local (salt) flux relative to surface-flux
   150 |KPPhbl  |  1 |       |SM P     1|m               |KPP boundary layer depth, bulk Ri criterion
   151 |KPPfrac |  1 |       |SM P     1|                |Short-wave flux fraction penetrating mixing layer
   152 |KPPdbsfc| 80 |       |SM P    UR|m/s^2           |Buoyancy difference with respect to surface
   153 |KPPbfsfc| 80 |       |SM P    UR|m^2/s^3         |Bo+radiation absorbed to d=hbf*hbl + plume
   154 |KPPRi   | 80 |       |SM P    UR|non-dimensional |Bulk Richardson number
   155 |KPPbo   |  1 |       |SM P     1|m^2/s^3         |Surface turbulent buoyancy forcing
   156 |KPPbosol|  1 |       |SM P     1|m^2/s^3         |surface radiative buoyancy forcing
   157 |KPPdbloc| 80 |       |SM P    UR|m/s^2           |Local delta buoyancy across interfaces
   158 |KPPnuddt| 80 |       |SM P    UR|m^2/s           |Vertical double diffusion coefficient for heat
   159 |KPPnudds| 80 |       |SM P    UR|m^2/s           |Vertical double diffusion coefficient for salt
   160 |KPPg_TH | 80 |       |WM      LR|degC.m^3/s      |KPP non-local Flux of Pot.Temperature
   161 |KPPg_SLT| 80 |       |WM      LR|psu.m^3/s       |KPP non-local Flux of Salinity
   162 |GM_VisbK|  1 |       |SM P    M1|m^2/s           |Mixing coefficient from Visbeck etal parameterization
   163 |GM_hTrsL|  1 |       |SM P    M1|m               |Base depth (>0) of the Transition Layer
   164 |GM_baseS|  1 |       |SM P    M1|1               |Slope at the base of the Transition Layer
   165 |GM_rLamb|  1 |       |SM P    M1|1/m             |Slope vertical gradient at Trans. Layer Base (=recip.Lambda)
   166 |SubMesLf|  1 |       |SM P    M1|m               |Sub-Meso horiz. Length Scale (Lf)
   167 |SubMpsiX|  1 |   168 |UU      M1|m^2/s           |Sub-Meso transp.stream-funct. magnitude (Psi0): U component
   168 |SubMpsiY|  1 |   167 |VV      M1|m^2/s           |Sub-Meso transp.stream-funct. magnitude (Psi0): V component
   169 |GM_Kux  | 80 |   170 |UU P    MR|m^2/s           |K_11 element (U.point, X.dir) of GM-Redi tensor
   170 |GM_Kvy  | 80 |   169 |VV P    MR|m^2/s           |K_22 element (V.point, Y.dir) of GM-Redi tensor
   171 |GM_Kuz  | 80 |   172 |UU      MR|m^2/s           |K_13 element (U.point, Z.dir) of GM-Redi tensor
   172 |GM_Kvz  | 80 |   171 |VV      MR|m^2/s           |K_23 element (V.point, Z.dir) of GM-Redi tensor
   173 |GM_Kwx  | 80 |   174 |UM      LR|m^2/s           |K_31 element (W.point, X.dir) of GM-Redi tensor
   174 |GM_Kwy  | 80 |   173 |VM      LR|m^2/s           |K_32 element (W.point, Y.dir) of GM-Redi tensor
   175 |GM_Kwz  | 80 |       |WM P    LR|m^2/s           |K_33 element (W.point, Z.dir) of GM-Redi tensor
   176 |GM_PsiX | 80 |   177 |UU      LR|m^2/s           |GM Bolus transport stream-function : U component
   177 |GM_PsiY | 80 |   176 |VV      LR|m^2/s           |GM Bolus transport stream-function : V component
   178 |GM_KuzTz| 80 |   179 |UU      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: X component
   179 |GM_KvzTz| 80 |   178 |VV      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: Y component
   180 |GM_KwzTz| 80 |       |WM      LR|degC.m^3/s      |Redi main-diagonal vertical Temperature flux
   181 |GM_ubT  | 80 |   182 |UUr     MR|degC.m^3/s      |Zonal Mass-Weight Bolus Transp of Pot Temp
   182 |GM_vbT  | 80 |   181 |VVr     MR|degC.m^3/s      |Meridional Mass-Weight Bolus Transp of Pot Temp
   183 |TRAC01  | 80 |       |SMR     MR|mmol N/         |NO3 concentration
   184 |UTRAC01 | 80 |   185 |UUr     MR|mmolN/.m/s      |Zonal Mass-Weighted Transp of NO3
   185 |VTRAC01 | 80 |   184 |VVr     MR|mmolN/.m/s      |Merid Mass-Weighted Transp of NO3
   186 |WTRAC01 | 80 |       |WM      MR|mmolN/.m/s      |Vert  Mass-Weighted Transp of NO3
   187 |ForcTr01| 80 |       |SMR     MR|mmolN//s        |NO3 forcing tendency
   188 |AB_gTr01| 80 |       |SMR     MR|mmolN//s        |NO3 tendency from Adams-Bashforth
   189 |Tp_gTr01| 80 |       |SMR     MR|mmolN//s        |NO3 total transport tendency (before gchem_forcing_sep)
   190 |ADVrTr01| 80 |       |WM      LR|mmolN/.m^3/s    |Vertical   Advective Flux of NO3
   191 |ADVxTr01| 80 |   192 |UU      MR|mmolN/.m^3/s    |Zonal      Advective Flux of NO3
   192 |ADVyTr01| 80 |   191 |VV      MR|mmolN/.m^3/s    |Meridional Advective Flux of NO3
   193 |DFrETr01| 80 |       |WM      LR|mmolN/.m^3/s    |Vertical Diffusive Flux of NO3 (Explicit part)
   194 |DFxETr01| 80 |   195 |UU      MR|mmolN/.m^3/s    |Zonal      Diffusive Flux of NO3
   195 |DFyETr01| 80 |   194 |VV      MR|mmolN/.m^3/s    |Meridional Diffusive Flux of NO3
   196 |DFrITr01| 80 |       |WM      LR|mmolN/.m^3/s    |Vertical Diffusive Flux of NO3 (Implicit part)
   197 |KPPgTr01| 80 |       |WM      LR|mmolN/.m^3/s    |KPP non-local Flux of NO3
   198 |TRAC02  | 80 |       |SMR     MR|mmol N/         |NO2 concentration
   199 |UTRAC02 | 80 |   200 |UUr     MR|mmolN/.m/s      |Zonal Mass-Weighted Transp of NO2
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   200 |VTRAC02 | 80 |   199 |VVr     MR|mmolN/.m/s      |Merid Mass-Weighted Transp of NO2
   201 |WTRAC02 | 80 |       |WM      MR|mmolN/.m/s      |Vert  Mass-Weighted Transp of NO2
   202 |ForcTr02| 80 |       |SMR     MR|mmolN//s        |NO2 forcing tendency
   203 |AB_gTr02| 80 |       |SMR     MR|mmolN//s        |NO2 tendency from Adams-Bashforth
   204 |Tp_gTr02| 80 |       |SMR     MR|mmolN//s        |NO2 total transport tendency (before gchem_forcing_sep)
   205 |ADVrTr02| 80 |       |WM      LR|mmolN/.m^3/s    |Vertical   Advective Flux of NO2
   206 |ADVxTr02| 80 |   207 |UU      MR|mmolN/.m^3/s    |Zonal      Advective Flux of NO2
   207 |ADVyTr02| 80 |   206 |VV      MR|mmolN/.m^3/s    |Meridional Advective Flux of NO2
   208 |DFrETr02| 80 |       |WM      LR|mmolN/.m^3/s    |Vertical Diffusive Flux of NO2 (Explicit part)
   209 |DFxETr02| 80 |   210 |UU      MR|mmolN/.m^3/s    |Zonal      Diffusive Flux of NO2
   210 |DFyETr02| 80 |   209 |VV      MR|mmolN/.m^3/s    |Meridional Diffusive Flux of NO2
   211 |DFrITr02| 80 |       |WM      LR|mmolN/.m^3/s    |Vertical Diffusive Flux of NO2 (Implicit part)
   212 |KPPgTr02| 80 |       |WM      LR|mmolN/.m^3/s    |KPP non-local Flux of NO2
   213 |TRAC03  | 80 |       |SMR     MR|mmol N/         |NH4 concentration
   214 |UTRAC03 | 80 |   215 |UUr     MR|mmolN/.m/s      |Zonal Mass-Weighted Transp of NH4
   215 |VTRAC03 | 80 |   214 |VVr     MR|mmolN/.m/s      |Merid Mass-Weighted Transp of NH4
   216 |WTRAC03 | 80 |       |WM      MR|mmolN/.m/s      |Vert  Mass-Weighted Transp of NH4
   217 |ForcTr03| 80 |       |SMR     MR|mmolN//s        |NH4 forcing tendency
   218 |AB_gTr03| 80 |       |SMR     MR|mmolN//s        |NH4 tendency from Adams-Bashforth
   219 |Tp_gTr03| 80 |       |SMR     MR|mmolN//s        |NH4 total transport tendency (before gchem_forcing_sep)
   220 |ADVrTr03| 80 |       |WM      LR|mmolN/.m^3/s    |Vertical   Advective Flux of NH4
   221 |ADVxTr03| 80 |   222 |UU      MR|mmolN/.m^3/s    |Zonal      Advective Flux of NH4
   222 |ADVyTr03| 80 |   221 |VV      MR|mmolN/.m^3/s    |Meridional Advective Flux of NH4
   223 |DFrETr03| 80 |       |WM      LR|mmolN/.m^3/s    |Vertical Diffusive Flux of NH4 (Explicit part)
   224 |DFxETr03| 80 |   225 |UU      MR|mmolN/.m^3/s    |Zonal      Diffusive Flux of NH4
   225 |DFyETr03| 80 |   224 |VV      MR|mmolN/.m^3/s    |Meridional Diffusive Flux of NH4
   226 |DFrITr03| 80 |       |WM      LR|mmolN/.m^3/s    |Vertical Diffusive Flux of NH4 (Implicit part)
   227 |KPPgTr03| 80 |       |WM      LR|mmolN/.m^3/s    |KPP non-local Flux of NH4
   228 |TRAC04  | 80 |       |SMR     MR|mmol P/         |PO4 concentration
   229 |UTRAC04 | 80 |   230 |UUr     MR|mmolP/.m/s      |Zonal Mass-Weighted Transp of PO4
   230 |VTRAC04 | 80 |   229 |VVr     MR|mmolP/.m/s      |Merid Mass-Weighted Transp of PO4
   231 |WTRAC04 | 80 |       |WM      MR|mmolP/.m/s      |Vert  Mass-Weighted Transp of PO4
   232 |ForcTr04| 80 |       |SMR     MR|mmolP//s        |PO4 forcing tendency
   233 |AB_gTr04| 80 |       |SMR     MR|mmolP//s        |PO4 tendency from Adams-Bashforth
   234 |Tp_gTr04| 80 |       |SMR     MR|mmolP//s        |PO4 total transport tendency (before gchem_forcing_sep)
   235 |ADVrTr04| 80 |       |WM      LR|mmolP/.m^3/s    |Vertical   Advective Flux of PO4
   236 |ADVxTr04| 80 |   237 |UU      MR|mmolP/.m^3/s    |Zonal      Advective Flux of PO4
   237 |ADVyTr04| 80 |   236 |VV      MR|mmolP/.m^3/s    |Meridional Advective Flux of PO4
   238 |DFrETr04| 80 |       |WM      LR|mmolP/.m^3/s    |Vertical Diffusive Flux of PO4 (Explicit part)
   239 |DFxETr04| 80 |   240 |UU      MR|mmolP/.m^3/s    |Zonal      Diffusive Flux of PO4
   240 |DFyETr04| 80 |   239 |VV      MR|mmolP/.m^3/s    |Meridional Diffusive Flux of PO4
   241 |DFrITr04| 80 |       |WM      LR|mmolP/.m^3/s    |Vertical Diffusive Flux of PO4 (Implicit part)
   242 |KPPgTr04| 80 |       |WM      LR|mmolP/.m^3/s    |KPP non-local Flux of PO4
   243 |TRAC05  | 80 |       |SMR     MR|mmol Fe         |FeT concentration
   244 |UTRAC05 | 80 |   245 |UUr     MR|mmolFe.m/s      |Zonal Mass-Weighted Transp of FeT
   245 |VTRAC05 | 80 |   244 |VVr     MR|mmolFe.m/s      |Merid Mass-Weighted Transp of FeT
   246 |WTRAC05 | 80 |       |WM      MR|mmolFe.m/s      |Vert  Mass-Weighted Transp of FeT
   247 |ForcTr05| 80 |       |SMR     MR|mmolFe/s        |FeT forcing tendency
   248 |AB_gTr05| 80 |       |SMR     MR|mmolFe/s        |FeT tendency from Adams-Bashforth
   249 |Tp_gTr05| 80 |       |SMR     MR|mmolFe/s        |FeT total transport tendency (before gchem_forcing_sep)
   250 |ADVrTr05| 80 |       |WM      LR|mmolFe.m^3/s    |Vertical   Advective Flux of FeT
   251 |ADVxTr05| 80 |   252 |UU      MR|mmolFe.m^3/s    |Zonal      Advective Flux of FeT
   252 |ADVyTr05| 80 |   251 |VV      MR|mmolFe.m^3/s    |Meridional Advective Flux of FeT
   253 |DFrETr05| 80 |       |WM      LR|mmolFe.m^3/s    |Vertical Diffusive Flux of FeT (Explicit part)
   254 |DFxETr05| 80 |   255 |UU      MR|mmolFe.m^3/s    |Zonal      Diffusive Flux of FeT
   255 |DFyETr05| 80 |   254 |VV      MR|mmolFe.m^3/s    |Meridional Diffusive Flux of FeT
   256 |DFrITr05| 80 |       |WM      LR|mmolFe.m^3/s    |Vertical Diffusive Flux of FeT (Implicit part)
   257 |KPPgTr05| 80 |       |WM      LR|mmolFe.m^3/s    |KPP non-local Flux of FeT
   258 |TRAC06  | 80 |       |SMR     MR|mmol C/         |DOC concentration
   259 |UTRAC06 | 80 |   260 |UUr     MR|mmolC/.m/s      |Zonal Mass-Weighted Transp of DOC
   260 |VTRAC06 | 80 |   259 |VVr     MR|mmolC/.m/s      |Merid Mass-Weighted Transp of DOC
